School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude,Total_Crimes,Total_Thefts,Total_Batteries,Total_Assaults,Total_Robberies,Total_Weapon_Violations,Total_Homicides,ACT_Score,College_Enrollment_Pct,Graduation_Pct,Level
610547,SOUTH SHORE INTL HS,2.0,41.758792,-87.576353,3153.0,596.0,713.0,306.0,193.0,67.0,11.0,17.9,64.2,86.5,4.0
609735,TILDEN HS,2.0,41.80751,-87.642966,881.0,224.0,170.0,77.0,48.0,16.0,4.0,14.5,31.7,55.2,2.0
609754,CHICAGO MILITARY HS,2.0,41.830555,-87.61921600000002,2121.0,609.0,422.0,172.0,146.0,20.0,1.0,16.9,44.8,89.6,4.0
400124,YCCS - MCKINLEY,1.0,41.841331,-87.625331,1378.0,353.0,258.0,89.0,119.0,11.0,3.0,13.9,12.5,,
609678,JONES HS,4.0,41.873066,-87.627675,5065.0,2430.0,612.0,231.0,233.0,14.0,1.0,26.2,87.3,98.1,5.0
609728,ROOSEVELT HS,1.0,41.964828,-87.71481899999998,1960.0,496.0,367.0,98.0,125.0,18.0,2.0,15.5,38.0,69.7,2.0
609713,HYDE PARK HS,1.0,41.782257,-87.58661500000002,819.0,173.0,159.0,74.0,54.0,8.0,,15.7,47.7,57.0,3.0
400134,YCCS - ADDAMS,5.0,41.857208,-87.644888,1117.0,351.0,178.0,73.0,54.0,8.0,1.0,13.1,16.7,,
400036,CHICAGO VIRTUAL,4.0,41.88055,-87.649772,2805.0,1406.0,231.0,125.0,101.0,6.0,1.0,18.8,68.0,60.0,2.0
609693,WESTINGHOUSE HS,3.0,41.889977,-87.707332,2720.0,368.0,590.0,214.0,135.0,65.0,12.0,20.7,76.7,93.3,5.0
610386,PEACE AND EDUCATION HS,2.0,41.803515,-87.667378,2457.0,371.0,582.0,227.0,159.0,66.0,14.0,13.8,27.0,,
609710,HARLAN HS,1.0,41.718372,-87.620623,1407.0,223.0,265.0,111.0,111.0,32.0,11.0,15.2,48.0,57.4,2.0
400087,YOUNG WOMENS HS,1.0,41.844544,-87.618724,1252.0,362.0,242.0,83.0,72.0,8.0,3.0,15.7,61.4,67.6,3.0
400141,YCCS - TRUMAN,2.0,41.96529500000001,-87.659239,2483.0,632.0,549.0,213.0,75.0,14.0,7.0,16.0,26.4,,
609720,LANE TECH HS,3.0,41.946645,-87.691013,747.0,308.0,74.0,32.0,25.0,4.0,,25.6,85.0,95.5,5.0
610564,DISNEY II HS,2.0,41.952488,-87.72136400000002,1273.0,410.0,196.0,65.0,47.0,3.0,1.0,19.2,,,5.0
609680,PAYTON HS,4.0,41.901575,-87.635385,4655.0,1933.0,642.0,233.0,175.0,25.0,5.0,29.6,87.7,98.5,5.0
400127,YCCS - AUSTIN CAREER,2.0,41.894976,-87.760221,3630.0,437.0,947.0,332.0,204.0,107.0,23.0,12.8,14.9,,
609761,CORLISS HS,2.0,41.70666,-87.60121600000002,678.0,91.0,144.0,70.0,24.0,20.0,,14.3,34.4,64.3,2.0
610529,OGDEN HS,2.0,41.893548,-87.659405,1880.0,881.0,145.0,63.0,92.0,2.0,3.0,19.7,72.6,93.9,5.0
609755,YOUNG HS,4.0,41.87860300000001,-87.664233,1943.0,895.0,197.0,73.0,76.0,1.0,2.0,27.9,85.2,96.1,5.0
610390,RICKOVER MILITARY HS,2.0,41.989021,-87.665789,1548.0,450.0,292.0,98.0,69.0,11.0,,18.0,63.3,88.3,4.0
609704,FARRAGUT HS,1.0,41.84856,-87.708706,2900.0,416.0,665.0,246.0,177.0,99.0,8.0,15.2,37.8,62.6,3.0
609676,DUNBAR HS,1.0,41.840226,-87.617637,1433.0,436.0,249.0,88.0,125.0,9.0,3.0,14.4,43.5,62.5,2.0
400077,U OF C - WOODLAWN HS,1.0,41.77813,-87.598114,2209.0,400.0,479.0,179.0,144.0,39.0,8.0,17.2,80.4,73.1,4.0
400171,FOUNDATIONS,1.0,41.694671,-87.65353499999998,995.0,160.0,216.0,84.0,36.0,25.0,3.0,,,,3.0
610557,PATHWAYS - ASHBURN HS,4.0,41.735239,-87.70406,332.0,73.0,47.0,25.0,14.0,1.0,,15.1,18.8,,
400179,NOBLE - MANSUETO HS,,41.800136,-87.728003,1007.0,201.0,165.0,58.0,52.0,9.0,5.0,,,,5.0
400051,NOBLE - NOBLE HS,3.0,41.900191,-87.662628,1917.0,782.0,185.0,100.0,100.0,2.0,5.0,21.2,84.7,94.1,5.0
400169,NOBLE - ITW SPEER HS,3.0,41.92563,-87.769808,1386.0,216.0,305.0,107.0,50.0,25.0,4.0,,,,5.0
400156,NOBLE - BUTLER HS,3.0,41.706667,-87.60257299999998,760.0,106.0,154.0,78.0,37.0,21.0,,19.2,,,3.0
400126,YCCS - ASSOCIATION HOUSE,2.0,41.901572,-87.70685999999998,2559.0,429.0,459.0,189.0,145.0,48.0,7.0,13.3,6.8,,
