,School ID,Year,Composite
943,400097,2016,21.7
944,400156,2016,19.2
945,400052,2011,20.1
946,400052,2012,19.3
947,400052,2013,19.3
948,400052,2014,19.5
949,400052,2015,18.6
950,400052,2016,17.9
951,400118,2015,18.8
952,400118,2016,18.6
953,400053,2010,18.8
954,400053,2011,20.0
955,400053,2012,20.1
956,400053,2013,20.5
957,400053,2014,20.4
958,400053,2015,19.0
959,400053,2016,19.5
960,400117,2015,20.1
961,400117,2016,19.1
962,400106,2013,19.5
963,400106,2014,19.8
964,400106,2015,19.2
965,400106,2016,18.2
966,400098,2012,20.8
967,400098,2013,21.3
968,400098,2014,21.3
969,400098,2015,21.8
970,400098,2016,21.8
971,400051,2002,18.2
972,400051,2003,17.3
973,400051,2004,18.2
974,400051,2005,18.4
975,400051,2006,18.6
976,400051,2007,18.6
977,400051,2008,18.4
978,400051,2009,19.3
979,400051,2010,19.8
980,400051,2011,20.6
981,400051,2012,20.0
982,400051,2013,20.4
983,400051,2014,19.8
984,400051,2015,20.8
985,400051,2016,21.2
986,400054,2009,20.0
987,400054,2010,19.9
988,400054,2011,21.0
989,400054,2012,21.4
990,400054,2013,20.9
991,400054,2014,21.5
992,400054,2015,20.6
993,400054,2016,21.9
994,400055,2009,19.2
995,400055,2010,19.5
996,400055,2011,20.2
997,400055,2012,21.0
998,400055,2013,20.1
999,400055,2014,20.1
1000,400055,2015,19.6
1001,400055,2016,20.9
1002,400056,2010,19.0
1003,400056,2011,18.9
1004,400056,2012,19.7
1005,400056,2013,18.3
1006,400056,2014,19.1
1007,400056,2015,18.7
1008,400056,2016,18.5
1009,400057,2011,21.1
1010,400057,2012,21.9
1011,400057,2013,21.7
1012,400057,2014,22.8
1013,400057,2015,22.2
1014,400057,2016,22.2
1015,400058,2001,14.8
1016,400058,2002,15.1
1017,400058,2003,14.1
1018,400058,2004,15.7
1019,400058,2005,15.5
1020,400058,2006,15.7
1021,400058,2007,16.8
1022,400058,2008,16.2
1023,400058,2009,15.7
1024,400058,2010,15.9
1025,400058,2011,16.1
1026,400058,2012,17.2
1027,400058,2013,16.3
1028,400058,2014,15.9
1029,400058,2015,16.5
1030,400058,2016,15.3
1031,400059,2010,15.9
1032,400059,2011,15.9
1033,400059,2012,16.6
1034,400059,2013,16.1
1035,400059,2014,16.1
1036,400059,2015,15.3
1037,400059,2016,14.5
1038,609691,2007,15.1
1039,609691,2008,15.3
1040,609691,2009,15.4
1041,609691,2010,15.2
1042,609691,2011,15.4
1043,609691,2012,15.4
1044,609691,2013,15.9
1045,609691,2014,16.3
1046,609691,2015,15.9
1047,609691,2016,15.9
1048,609749,2001,25.0
1049,609749,2002,25.3
1050,609749,2003,26.8
1051,609749,2004,28.2
1052,609749,2005,27.4
1053,609749,2006,27.1
1054,609749,2007,27.5
1055,609749,2008,28.5
1056,609749,2009,28.8
1057,609749,2010,28.5
1058,609749,2011,28.8
1059,609749,2012,29.6
1060,609749,2013,29.4
1061,609749,2014,29.1
1062,609749,2015,28.7
1063,609749,2016,29.5
1064,610529,2012,18.1
1065,610529,2013,17.8
1066,610529,2014,18.4
1067,610529,2015,19.7
1068,610529,2016,19.7
1069,610569,2014,18.7
1070,610569,2015,17.0
1071,610569,2016,15.6
1072,610570,2015,14.6
1073,610570,2016,14.1
1074,610571,2014,13.7
1075,610571,2015,14.8
1076,610571,2016,14.4
1077,610389,2001,13.1
1078,610389,2002,13.8
1079,610389,2003,13.2
1080,610389,2004,13.6
1081,610389,2009,14.1
1082,610389,2010,14.6
1083,610389,2011,14.9
1084,610389,2012,14.3
1085,610389,2013,14.0
1086,610389,2014,14.8
1087,610389,2015,14.0
1088,610389,2016,14.2
1089,610557,2012,14.9
1090,610557,2013,14.7
1091,610557,2014,14.9
1092,610557,2015,14.8
1093,610557,2016,15.1
1094,610568,2014,14.7
1095,610568,2015,14.9
1096,610568,2016,14.4
1097,400173,2015,15.1
1098,400173,2016,14.6
1099,609680,2003,23.3
1100,609680,2004,25.3
1101,609680,2005,25.8
1102,609680,2006,25.9
1103,609680,2007,26.3
1104,609680,2008,27.0
1105,609680,2009,28.1
1106,609680,2010,27.6
1107,609680,2011,27.0
1108,609680,2012,27.8
1109,609680,2013,29.3
1110,609680,2014,29.1
1111,609680,2015,29.5
1112,609680,2016,29.6
1113,610386,2001,15.3
1114,610386,2002,
1115,610386,2003,14.6
1116,610386,2004,14.5
1117,610386,2005,14.3
1118,610386,2007,14.6
1119,610386,2008,14.4
1120,610386,2009,15.1
1121,610386,2010,13.8
1122,610386,2011,13.4
1123,610386,2012,13.6
1124,610386,2013,13.6
1125,610386,2014,14.1
1126,610386,2016,13.8
1127,400064,2001,15.0
1128,400064,2002,16.3
1129,400064,2003,15.5
1130,400064,2004,16.0
1131,400064,2005,16.7
1132,400064,2006,16.1
1133,400064,2007,16.5
1134,400064,2008,16.3
1135,400064,2009,16.9
1136,400064,2010,17.4
1137,400064,2011,17.5
1138,400064,2012,18.2
1139,400064,2013,18.5
1140,400064,2014,19.6
1141,400064,2015,18.7
1142,400064,2016,17.5
1143,400061,2009,14.9
1144,400061,2010,15.7
1145,400061,2011,15.7
1146,400061,2012,16.5
1147,400061,2013,16.2
1148,400061,2014,16.6
1149,400061,2015,16.1
1150,400061,2016,16.8
1151,400066,2011,17.4
1152,400066,2012,16.5
1153,400066,2013,16.7
